--- SUMMARY ---

==30205== NVPROF is profiling process 30205, command: ./Lorenz.exe
==30205== Profiling application: ./Lorenz.exe
==30205== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 98.66%  50.518ms         1  50.518ms  50.518ms  50.518ms  RungeKuttaStepRegisterFriendly(double*, double const *, int)
  0.70%  357.54us         1  357.54us  357.54us  357.54us  [CUDA memcpy DtoH]
  0.64%  327.91us         2  163.95us  63.713us  264.19us  [CUDA memcpy HtoD]

==30205== API calls:
No API activities were profiled.


--- SPECIFIC METRICS AND EVENTS ---

======== Warning: Metric "branch_efficiency" cannot be found on device 0.
======== Warning: Metric "stall_not_selected" cannot be found on device 1.
==30218== NVPROF is profiling process 30218, command: ./Lorenz.exe
==30218== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==30218== Profiling application: ./Lorenz.exe
==30218== Profiling result:
==30218== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "GeForce GTX TITAN Black (0)"
	Kernel: RungeKuttaStepRegisterFriendly(double*, double const *, int)
          1                         elapsed_cycles_sm   666461460   666461460   666461460
          1                             active_cycles   662812216   662812216   662812216

==30218== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN Black (0)"
	Kernel: RungeKuttaStepRegisterFriendly(double*, double const *, int)
          1                             sm_efficiency                   Multiprocessor Activity      99.44%      99.44%      99.44%
          1                        achieved_occupancy                        Achieved Occupancy    0.748086    0.748086    0.748086
          1                  eligible_warps_per_cycle           Eligible Warps Per Active Cycle   43.632035   43.632035   43.632035
          1                     local_load_throughput              Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput             Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                                       ipc                              Executed IPC    2.085802    2.085802    2.085802
          1                                issued_ipc                                Issued IPC    3.998186    3.998186    3.998186
          1                         flop_count_dp_add  Floating Point Operations(Double Precisi  5529600000  5529600000  5529600000
          1                         flop_count_dp_mul  Floating Point Operations(Double Precisi  6451200000  6451200000  6451200000
          1                         flop_count_dp_fma  Floating Point Operations(Double Preciso  2.8570e+10  2.8570e+10  2.8570e+10
          1                              inst_integer                      Integer Instructions  1844305920  1844305920  1844305920
          1                              inst_control                 Control-Flow Instructions   921600000   921600000   921600000
          1                        inst_compute_ld_st                   Load/Store Instructions   922245120   922245120   922245120
          1                                 inst_misc                         Misc Instructions     1105920     1105920     1105920
          1                        flop_dp_efficiency              FLOP Efficiency(Peak Double)      81.02%      81.02%      81.02%
          1                     l1_shared_utilization              L1/Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                            l2_utilization                      L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                          dram_utilization                 Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization      Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        alu_fu_utilization      Arithmetic Function Unit Utilization    Max (10)    Max (10)    Max (10)
          1                           stall_pipe_busy           Issue Stall Reasons (Pipe Busy)       2.10%       2.10%       2.10%
          1                     stall_exec_dependency  Issue Stall Reasons (Execution Dependenc       8.84%       8.84%       8.84%
          1                   stall_memory_dependency        Issue Stall Reasons (Data Request)       0.00%       0.00%       0.00%
          1                          stall_inst_fetch  Issue Stall Reasons (Instructions Fetch)       2.66%       2.66%       2.66%
          1                        stall_not_selected        Issue Stall Reasons (Not Selected)      86.39%      86.39%      86.39%
          1                     stall_memory_throttle     Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                               stall_other               Issue Stall Reasons (Other)       0.00%       0.00%       0.00%


